20180510-50310-12840-s-13710,12,92
20180510-50310-12840-s-13713,10,85
20180510-50310-12840-s-13720,10,20
20180510-50310-12840-s-13727,16,109
20180510-50310-12840-s-13728,10,20
20180510-50310-12840-s-13730,10,20
20180510-50310-12840-s-13734,16,132
20180510-50310-12840-s-13735,16,102
20180510-50310-12840-s-13773,16,127
20180510-50310-12840-s-13777,14,102
20180510-50310-12840-s-14098,14,84
20180510-50310-12840-s-14099,16,130
20180510-50310-12840-s-14100,10,75
20180510-50310-12840-s-14103,16,94
20180510-50310-12840-s-14106,16,120
20180510-50310-12840-s-14975,16,142
20180510-50310-12840-s-14978,11,87
20180510-50310-12843-s-4354,12,74
20180510-50310-12843-s-4357,12,85
20180510-50310-12843-s-4358,10,100
20180510-50310-12846-s-5669,5,20
20180510-50310-12846-s-5672,8,20
20180510-50310-12849-s-11884,16,88
20180510-50310-12855-s-32486,18,62
20180510-50313-12840-s-10462,16,100
20180510-50313-12840-s-10469,16,79
20180510-50313-12840-s-10473,16,108
20180510-50313-12840-s-10574,15,72
20180510-50313-12840-s-10580,15,119
20180510-50313-12840-s-10694,16,129
20180510-50313-12840-s-11212,16,108
20180510-50313-12843-s-4764,16,108
20180510-50313-12843-s-4766,16,115
20180510-50313-12843-s-4767,16,179
20180510-50313-12843-s-4777,16,135
20180510-50313-12843-s-4779,16,111
20180510-50313-12843-s-4780,16,164
20180510-50313-12843-s-4805,16,60
20180510-50313-12843-s-4806,16,115
20180510-50313-12843-s-5114,34,157
20180510-50313-12843-s-5471,16,198
20180510-50313-12843-s-5473,16,200
20180510-50313-12843-s-5556,16,20
20180510-50313-12846-s-6649,16,100
20180510-50313-12846-s-6651,37,172
20180510-50313-12846-s-6652,13,107
20180510-50313-12846-s-6657,24,100
20180510-50313-12846-s-6659,31,146
20180510-50313-12846-s-6663,23,106
20180510-50313-12846-s-6665,23,106
20180510-50313-12846-s-6669,27,138
20180510-50313-12846-s-6672,16,82
20180510-50313-12846-s-6673,24,120
20180510-50313-12846-s-6679,16,141
20180510-50313-12846-s-6680,16,159
20180510-50313-12846-s-7387,23,115
20180510-50313-12846-s-7388,23,117
20180510-50313-12846-s-7389,23,115
20180510-50313-12846-s-7390,27,150
20180510-50313-12846-s-7391,24,100
20180510-50313-12846-s-7392,20,79
20180510-50313-12846-s-7393,31,154
20180510-50313-12846-s-7394,35,165
20180510-50313-12846-s-7396,31,155
20180510-50313-12846-s-7397,23,122
20180510-50313-12849-s-12323,14,70
20180510-50313-12849-s-12423,22,93
20180510-50313-12849-s-12546,17,73
20180510-50313-12849-s-13401,23,119
20180510-50313-12849-s-14543,22,102
20180510-50313-12864-s-21954,19,85
20180510-50316-12843-s-11116,16,113
20180510-50316-12843-s-9426,16,99
20180510-50316-12843-s-9499,15,200
20180510-50316-12846-s-11275,16,170
20180510-50316-12846-s-11354,16,119
20180510-50316-12846-s-11357,16,78
20180510-50316-12846-s-11366,16,166
20180510-50316-12846-s-11422,16,179
20180510-50316-12846-s-11424,22,96
20180510-50316-12846-s-11428,29,137
20180510-50316-12846-s-12490,16,92
20180510-50316-12846-s-12828,16,131
20180510-50316-12849-s-16248,19,99
20180510-50316-12852-s-20129,20,62
20180510-50316-12852-s-20130,19,99
20180510-50316-12861-s-22402,36,132
20180510-50331-12849-s-13513,28,94
20180510-50331-12855-s-22024,20,450
20180510-50331-12855-s-22025,31,148
20180510-50337-12849-s-12420,20,67
20180510-50343-12849-s-7131,20,79
20180704-50310-12825-s-3284,42,138
20180704-50310-12825-s-3303,41,138
20180704-50310-12825-s-3825,40,135
20180704-50310-12828-s-4721,48,170
20180704-50310-12828-s-4865,49,169
20180704-50310-12828-s-4909,48,154
20180704-50310-12828-s-5310,48,167
20180704-50310-12831-s-9066,20,79
20180704-50310-12831-s-9930,19,93
20180704-50310-12834-s-13487,40,166
20180704-50310-12834-s-14249,24,114
20180704-50310-12834-s-14250,40,163
20180704-50310-12837-s-20651,16,70
20180704-50310-12837-s-22658,23,99
20180704-50313-12813-s-4744,20,79
20180704-50313-12813-s-5214,20,79
20180704-50313-12837-s-5218,37,171
20180704-50313-12837-s-5230,38,172
20180704-50313-12837-s-5232,48,210
20180704-50313-12837-s-5234,34,173
20180704-50313-12837-s-5241,32,193
20180704-50313-12837-s-5248,43,196
20180704-50313-12837-s-5936,23,114
20180704-50313-12837-s-5938,27,126
20180704-50313-12837-s-5941,56,184
20180704-50319-12834-s-5572,49,160
20180704-50319-12834-s-5705,20,60
20180704-50319-12837-s-9912,55,193
20180704-50325-12831-s-3079,33,115
20180704-50325-12837-s-3875,43,155
20180704-50325-12837-s-4583,44,150
20180829-50265-12819-s-20492,27,94
20180829-50265-12819-s-21469,42,150
20180829-50265-12819-s-21470,28,102
20180829-50265-12819-s-21471,28,102
20180829-50265-12822-s-32420,20,79
20180829-50265-12825-s-29656,20,79
20180829-50265-12825-s-29658,20,79
20180829-50265-12825-s-29659,28,120
20180829-50274-12846-s-31074,28,88
20180829-50277-12840-s-39511,20,79
20180829-50280-12840-s-20663,18,73
20180829-50280-12846-s-14447,18,58
20180829-50283-12846-s-16731,17,79
20180829-50283-12849-s-15361,30,124
20180829-50283-12849-s-15362,18,82
20180829-50283-12849-s-15363,29,126
20180829-50286-12834-s-15528,27,98
20180829-50286-12834-s-15529,20,70
20180829-50286-12834-s-15530,33,145
20180829-50286-12837-s-10687,20,79
20180829-50286-12843-s-10098,24,76
20180829-50286-12843-s-10099,54,222
20180829-50286-12843-s-10100,22,100
20180829-50286-12846-s-10002,28,117
20180829-50286-12846-s-10003,37,121
20180829-50286-12846-s-10004,48,242
20180829-50286-12846-s-10005,52,235
20180829-50286-12846-s-10438,27,92
20180829-50286-12846-s-11154,30,123
20180829-50286-12849-s-13954,27,112
20180829-50286-12849-s-13955,28,99
20180829-50286-12849-s-13956,20,70
20180829-50286-12849-s-13957,23,110
20180829-50286-12849-s-13958,31,123
20180829-50286-12849-s-13959,38,172
20180829-50286-12849-s-13960,22,83
20180829-50286-12849-s-13961,17,88
20180829-50286-12849-s-13962,44,152
20180829-50286-12849-s-13963,29,110
20180829-50286-12849-s-13964,46,167
20180829-50286-12849-s-14065,26,117
20180829-50286-12849-s-14128,24,103
20180829-50286-12849-s-14927,19,79
20180829-50286-12849-s-14930,16,79
20180829-50286-12849-s-14932,38,123
20180829-50286-12849-s-14933,35,161
20180829-50286-12849-s-14934,40,189
20180829-50289-12831-s-15979,25,120
20180829-50289-12831-s-17095,19,60
20180829-50289-12834-s-8779,20,79
20180829-50289-12834-s-8780,41,184
20180829-50289-12834-s-8781,20,79
20180829-50289-12834-s-9679,20,79
20180829-50289-12834-s-9680,20,79
20180829-50289-12837-s-10163,13,74
20180829-50289-12837-s-10164,20,79
20180829-50289-12837-s-10165,23,102
20180829-50289-12846-s-7263,52,210
20180829-50289-12846-s-7264,29,133
20180829-50289-12846-s-7265,28,124
20180829-50289-12846-s-7266,18,91
20180829-50289-12846-s-7267,47,178
20180829-50289-12846-s-7269,30,123
20180829-50289-12846-s-7270,32,165
20180829-50289-12846-s-7271,30,134
20180829-50289-12846-s-7272,34,163
20180829-50289-12846-s-7273,28,151
20180829-50289-12846-s-7274,25,96
20180829-50289-12846-s-7275,20,79
20180829-50289-12846-s-7276,34,161
20180829-50289-12846-s-7277,20,60
20180829-50289-12846-s-7278,20,79
20180829-50289-12846-s-7279,20,79
20180829-50289-12846-s-7280,23,111
20180829-50289-12846-s-7281,20,79
20180829-50289-12846-s-7282,21,92
20180829-50289-12846-s-7283,24,100
20180829-50289-12846-s-7284,27,97
20180829-50289-12846-s-8237,26,134
20180829-50289-12849-s-11043,31,105
20180829-50289-12849-s-11635,33,133
20180829-50289-12849-s-11711,43,200
20180829-50289-12849-s-11745,50,210
20180829-50289-12849-s-11758,44,189
20180829-50289-12849-s-11759,31,121
20180829-50289-12849-s-12693,55,210
20180829-50289-12849-s-12695,54,216
20180829-50289-12849-s-12697,50,204
20180829-50289-12849-s-13461,16,79
20180829-50289-12849-s-13466,27,93
20180829-50292-12831-s-10873,45,158
20180829-50292-12831-s-11966,36,120
20180829-50292-12831-s-11967,36,120
20180829-50292-12834-s-13450,18,78
20180829-50292-12834-s-13451,20,79
20180829-50292-12834-s-13452,20,79
20180829-50292-12834-s-13453,20,79
20180829-50292-12834-s-13454,20,79
20180829-50292-12834-s-13455,21,102
20180829-50292-12834-s-13456,20,79
20180829-50292-12834-s-14595,20,79
20180829-50292-12837-s-11534,18,61
20180829-50292-12837-s-11536,20,79
20180829-50292-12837-s-11537,20,79
20180829-50292-12837-s-12399,25,100
20180829-50292-12837-s-12419,20,79
20180829-50292-12837-s-12420,34,114
20180829-50292-12837-s-12421,20,92
20180829-50292-12837-s-12422,32,131
20180829-50292-12840-s-5243,20,96
20180829-50292-12840-s-5244,18,83
20180829-50292-12840-s-5807,20,79
20180829-50292-12843-s-7069,20,79
20180829-50292-12843-s-7070,16,64
20180829-50292-12843-s-7702,18,85
20180829-50292-12846-s-6547,20,79
20180829-50292-12846-s-6549,36,151
20180829-50292-12846-s-6551,27,150
20180829-50292-12846-s-7671,20,79
20180829-50292-12849-s-12179,18,82
20180829-50292-12849-s-13768,25,94
20180829-50292-12864-s-33987,34,121
20180829-50295-12825-s-20003,22,68
20180829-50295-12825-s-23140,19,103
20180829-50295-12828-s-15498,32,107
20180829-50295-12828-s-15500,32,102
20180829-50295-12828-s-17118,23,90
20180829-50295-12828-s-18270,25,87
20180829-50295-12828-s-18271,28,115
20180829-50295-12831-s-13361,18,82
20180829-50295-12831-s-13362,20,64
20180829-50295-12831-s-14715,18,85
20180829-50295-12831-s-14716,20,79
20180829-50295-12831-s-14720,23,88
20180829-50295-12834-s-14781,22,101
20180829-50295-12834-s-16005,18,81
20180829-50295-12837-s-11410,16,90
20180829-50295-12837-s-11412,20,79
20180829-50295-12837-s-11510,14,65
20180829-50295-12837-s-12519,13,52
20180829-50295-12837-s-12520,20,79
20180829-50295-12840-s-20139,15,69
20180829-50295-12840-s-21201,22,69
20180829-50295-12846-s-14077,25,85
20180829-50295-12849-s-37339,32,112
20180829-50295-12849-s-37341,20,96
20180829-50298-12840-s-12375,23,88
20180829-50298-12840-s-12376,17,72
20180829-50298-12840-s-12377,22,90
20180829-50298-12840-s-12378,25,115
20180829-50298-12840-s-12379,20,79
20180829-50298-12840-s-12380,25,94
20180829-50298-12840-s-12381,23,78
20180829-50298-12840-s-13093,17,88
20180829-50298-12843-s-23485,20,79
20180829-50298-12846-s-37850,29,92
20180829-50298-12849-s-29319,41,138
20180829-50298-12861-s-38574,52,183
20180829-50298-12864-s-45033,22,73
20180829-50301-12819-s-23175,39,127
20180829-50301-12819-s-23176,39,127
20180829-50301-12822-s-12492,25,88
20180829-50301-12822-s-12601,44,146
20180829-50301-12822-s-13961,17,79
20180829-50301-12825-s-21119,28,100
20180829-50301-12837-s-17087,13,66
20180829-50301-12837-s-17089,54,248
20180829-50301-12837-s-17730,29,94
20180829-50301-12837-s-17731,25,113
20180829-50301-12837-s-17750,54,232
20180829-50301-12840-s-22719,46,164
20180829-50301-12840-s-23462,23,88
20180829-50304-12816-s-23301,20,68
20180829-50304-12819-s-17722,36,115
20180829-50304-12822-s-15820,43,137
20180829-50304-12825-s-11758,32,148
20180829-50304-12825-s-11849,28,147
20180829-50304-12825-s-11850,32,152
20180829-50304-12825-s-11851,30,148
20180829-50304-12825-s-13062,29,148
20180829-50304-12834-s-20698,36,129
20180829-50304-12834-s-20700,38,130
20180829-50304-12837-s-12181,20,79
20180829-50304-12837-s-12182,45,201
20180829-50304-12843-s-17093,24,105
20180829-50304-12846-s-13816,20,79
20180829-50307-12810-s-3424,20,79
20180829-50307-12810-s-3428,20,79
20180829-50307-12825-s-10471,29,145
20180829-50307-12825-s-10513,40,130
20180829-50307-12825-s-10515,43,136
20180829-50307-12828-s-8373,48,154
20180829-50307-12828-s-8374,48,154
20180829-50307-12828-s-8427,20,60
20180829-50307-12828-s-8563,47,167
20180829-50307-12831-s-14193,43,177
20180829-50307-12831-s-14582,34,14280
20180829-50307-12831-s-15073,43,180
20180829-50307-12834-s-17191,35,151
20180829-50307-12834-s-17897,25,93
20180829-50307-12834-s-18527,26,112
20180829-50307-12837-s-15732,52,247
20180829-50307-12837-s-15736,42,175
20180829-50307-12837-s-16245,47,199
20180829-50307-12840-s-17152,11,174
20180829-50307-12840-s-17362,15,147
20180829-50307-12840-s-17376,9,156
20180829-50307-12840-s-17773,20,79
20180829-50307-12840-s-17864,52,247
20180829-50307-12840-s-17866,20,79
20180829-50307-12840-s-18236,20,79
20180829-50307-12843-s-10667,20,79
20180829-50307-12843-s-10669,20,79
20180829-50307-12849-s-16074,20,79
20180829-50307-12852-s-26687,38,130
20180829-50307-12852-s-26688,17,78
